Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231213200837_ire99,20231213200837_ire99,2023-12-13 20:08:39,True,dtlz1,2,3,0,1,rate with continuous change when fails,0.6,11,250,0.028281375380906443,0.0022059542192229167,0.22388427415837986,881.7839860916138
20231213072538_vzoua,20231213072538_vzoua,2023-12-13 07:25:41,True,dtlz1,2,2,0,1,continuous change when fails,0.8,11,250,0.0055842753495017085,0.0019854290967512554,0.23282506308915535,979.6867160797119
20231203162014_30745,20231203162014_30745,,,dtlz7,3,3,2,,,0.0,15,300,0.37679555881030524,0.011870299676809337,0.7247848047564737,2597.0558788776398
20231213030831_z0gd8,20231213030831_z0gd8,2023-12-13 03:08:33,True,dtlz1,2,2,0,0,rate with one time change when fails,0.6,11,250,0.005974866057294101,0.002098105187536452,0.2325424041469437,959.8888380527496
20231213230003_9x4cj,20231213230003_9x4cj,2023-12-13 23:00:08,False,dtlz7,3,3,4,0,rate with one time change when fails,0.5,15,50,0.5836728436487215,0.06620052624934417,0.41201996298975646,82.81623792648315
20231206014839_21602,20231206014839_21602,,,dtlz3,2,2,2,,,0.5,11,250,4.204664877529132,19.37447279136044,0.0,1366.2057032585144
20231213182229_13j9k,20231213182229_13j9k,2023-12-13 18:22:32,True,dtlz1,2,3,0,1,rate with continuous change when fails,0.2,11,250,0.03219114142127053,0.0037050273949057397,0.22257551107287643,940.0889296531677
20231206050530_5616,20231206050530_5616,,,dtlz5,3,3,3,,,0.5,15,250,0.021476852944218364,0.005701363964005977,0.1436617531895506,1140.4127173423767
20231205171646_11998,20231205171646_11998,,,dtlz1,3,3,2,,,0.5,15,50,0.20589011432908716,0.030686508858166484,0.14656800234314757,94.40721440315247
20231213083257_mgb0r,20231213083257_mgb0r,2023-12-13 08:32:59,True,dtlz1,2,2,4,0,rate with one time change when fails,0.4,11,250,0.017450249652560784,0.0022256207309085973,0.22785623538933464,1013.9580857753754
20231201025243_10580,20231201025243_10580,,,dtlz7,3,3,0,,,,,300,0.07791258001252857,0.014837234797563577,1.0431383636741105,1495.9339845180511
20231214013503_uqian,20231214013503_uqian,2023-12-14 01:35:06,True,dtlz3,2,2,4,1,rate with one time change when fails,0.2,11,250,1.4892508355778242,2.4951986864217512,0.0,776.7583646774292
20231213235941_fn3rl,20231213235941_fn3rl,2023-12-13 23:59:44,False,dtlz7,3,3,4,0,rate with one time change when fails,0.5,15,50,0.7618674455315428,4.658382607076287,0.1373331332244913,42.20269203186035
20231213035657_c5khe,20231213035657_c5khe,2023-12-13 03:57:00,True,dtlz1,2,2,0,0,rate with one time change when fails,0.8,11,250,0.008151902196151091,0.002888492680541562,0.23152327291190894,936.4631679058075
20231213105328_niqdq,20231213105328_niqdq,2023-12-13 10:53:31,True,dtlz1,2,2,4,0,continuous change when fails,0.8,11,250,0.3221160267760471,0.00239681598446421,0.14378390402540825,1169.283017873764
20231206021134_343,20231206021134_343,,,dtlz3,3,3,3,,,0.5,15,250,1.4903422398664758,16.137050165395177,0.0,1259.6248579025269
20231130145400,20231130145400,,,dtlz1,3,3,0,,,,,250,0.06510003708766453,0.015455471558316594,0.18578564784708124,900.0707452297211
20231213074206_ye8z4,20231213074206_ye8z4,2023-12-13 07:42:09,True,dtlz1,2,2,4,0,rate with one time change when fails,0.2,11,250,0.009451769207275262,0.002044793101510373,0.23123718555091408,844.0746138095856
20231213063819_lnv1e,20231213063819_lnv1e,2023-12-13 06:38:21,True,dtlz1,2,2,0,1,continuous change when fails,0.6,11,250,0.005981975172634563,0.0018735417039387277,0.2326467453825508,941.3603835105896
20231203182918_15164,20231203182918_15164,,,dtlz7,3,5,2,,,0.0,15,300,0.7669096138997772,0.001784484825576345,0.3112640196394282,2036.2386229038239
20231203150008_19781,20231203150008_19781,,,dtlz7,3,3,2,,,0.5,15,300,0.10939384425283873,0.012539720633468476,0.9430278925210203,1174.1222529411316
20231213230135_6nqag,20231213230135_6nqag,2023-12-13 23:01:39,True,dtlz7,3,3,4,1,rate with one time change when fails,0.5,15,50,0.3419688294400752,3.9397124850545024,0.5379833294846121,127.14887166023254
20231205172711_8037,20231205172711_8037,,,dtlz7,3,3,2,,,0.5,15,50,0.40176424543982825,7.398281867125855,0.41234479356577425,84.17913484573364
